epoch,train-loss,learning-rate
0,6.420162,0.0001
1,7.181315,0.0001
2,6.8297696,0.0001
3,6.530078,0.0001
4,6.4052935,0.0001
5,6.43232,0.0001
6,6.396557,0.0001
7,6.410961,0.0001
8,6.3439336,0.0001
9,6.3730683,0.0001
10,6.3336124,0.0001
11,6.292455,0.0001
12,6.2770057,0.0001
13,6.2797694,0.0001
14,6.298404,0.0001
15,6.29649,0.0001
16,6.3409677,0.0001
17,6.3065033,0.0001
18,6.3560753,0.0001
19,6.3347926,0.0001
20,6.378381,0.0001
21,6.3813777,0.0001
22,6.397746,0.0001
23,6.3809934,0.0001
24,6.3496346,0.0001
25,6.287624,0.0001
26,6.2869897,0.0001
27,6.2787733,0.0001
28,6.2353373,0.0001
29,6.197312,0.0001
30,6.199274,0.0001
31,6.184578,0.0001
32,6.1837926,0.0001
33,6.196656,0.0001
34,6.1613545,0.0001
35,6.1486645,0.0001
36,6.1668954,0.0001
37,6.1416917,0.0001
38,6.0998096,0.0001
39,6.1606503,0.0001
40,6.1029463,0.0001
41,6.135994,0.0001
42,6.0890656,0.0001
43,6.0320954,0.0001
44,6.1046557,0.0001
45,6.0401926,0.0001
46,5.983872,0.0001
47,6.016895,0.0001
48,5.9741755,0.0001
49,5.9631643,0.0001
50,6.043924,0.0001
51,5.974499,0.0001
52,6.042103,0.0001
53,6.016586,0.0001
54,6.083029,0.0001
55,5.9623904,0.0001
56,6.008111,0.0001
57,6.0318847,0.0001
58,5.8958187,0.0001
59,5.9709134,0.0001
60,5.974837,0.0001
61,5.953529,0.0001
62,5.8879857,0.0001
63,5.979902,0.0001
64,5.8732114,0.0001
65,5.8557787,0.0001
66,5.8905187,0.0001
67,5.9400516,0.0001
68,5.8755574,0.0001
69,5.913951,0.0001
70,5.8608947,0.0001
71,5.834391,0.0001
72,5.8829203,0.0001
73,5.87106,0.0001
74,5.8454394,0.0001
75,5.772907,0.0001
76,5.9229994,0.0001
77,5.769386,0.0001
78,5.843212,0.0001
79,5.852199,0.0001
80,5.828817,0.0001
81,5.7383943,0.0001
82,5.8171144,0.0001
83,5.767874,0.0001
84,5.860224,0.0001
85,5.798142,0.0001
86,5.7759986,0.0001
87,5.7611494,0.0001
88,5.7318163,0.0001
89,5.7286296,0.0001
90,5.718675,0.0001
91,5.6939125,0.0001
92,5.747412,0.0001
93,5.713381,0.0001
94,5.7314878,0.0001
95,5.7239122,0.0001
96,5.638161,0.0001
97,5.713987,0.0001
98,5.6870966,0.0001
99,5.5706935,0.0001
100,5.78911,0.0001
101,5.684374,0.0001
102,5.642194,0.0001
103,5.674195,0.0001
104,5.646386,0.0001
105,5.639164,0.0001
106,5.638971,0.0001
107,5.6027546,0.0001
108,5.5718493,0.0001
109,5.53457,0.0001
110,5.6163425,0.0001
111,5.7032814,0.0001
112,5.543118,0.0001
113,5.521792,0.0001
114,5.552952,0.0001
115,5.589928,0.0001
116,5.6901364,0.0001
117,5.559859,0.0001
118,5.584055,0.0001
119,5.549477,0.0001
120,5.5153546,0.0001
121,5.558108,0.0001
122,5.4732704,0.0001
