epoch,train-loss,learning-rate
0,6.0305495,0.001
1,6.282697,0.001
2,6.230628,0.001
3,6.2034163,0.001
4,6.1520348,0.001
5,6.1288924,0.001
6,6.087181,0.001
7,6.072939,0.001
8,6.0800996,0.001
9,6.051176,0.001
10,6.0733166,0.001
11,6.080772,0.001
12,6.075239,0.001
13,6.056567,0.001
14,6.130825,0.001
15,6.1918254,0.001
16,6.18562,0.001
17,6.1850815,0.001
18,6.1964455,0.001
19,6.2097917,0.001
20,6.1723437,0.001
21,6.20836,0.001
22,6.201063,0.001
23,6.226409,0.001
24,6.2128086,0.001
25,6.18645,0.001
26,6.209175,0.001
27,6.1804757,0.001
28,6.1136622,0.001
29,6.104228,0.001
30,6.0471406,0.001
31,6.0414476,0.001
32,6.026047,0.001
33,6.029818,0.001
34,6.011699,0.001
35,5.997151,0.001
36,6.0163546,0.001
37,6.016726,0.001
38,6.0717096,0.001
39,6.134519,0.001
40,6.150666,0.001
41,6.166539,0.001
42,6.181478,0.001
43,6.2133217,0.001
44,6.2019134,0.001
45,6.2150483,0.001
46,6.266006,0.001
47,6.2483,0.001
48,6.2719445,0.001
49,6.2662625,0.001
50,6.252238,0.001
51,6.2271967,0.001
52,6.1884007,0.001
53,6.1263213,0.001
54,6.1406426,0.001
55,6.0762067,0.001
56,6.0121713,0.001
57,6.0131454,0.001
58,6.016705,0.001
59,5.9867764,0.001
60,5.9765944,0.001
61,5.9915223,0.001
62,5.9650946,0.001
63,6.0250278,0.001
64,6.001477,0.001
65,5.9639535,0.001
66,5.932749,0.001
67,5.926696,0.001
68,5.931265,0.001
69,5.939748,0.001
70,5.936702,0.001
71,5.995431,0.001
72,6.012824,0.001
73,6.044163,0.001
74,6.053889,0.001
75,6.0394588,0.001
76,5.988696,0.001
77,6.009096,0.001
78,6.010791,0.001
79,6.0322795,0.001
80,5.974529,0.001
81,5.9200115,0.001
82,5.9737463,0.001
83,5.916849,0.001
84,5.9466414,0.001
85,5.893544,0.001
86,5.9367795,0.001
87,5.9176984,0.001
88,5.945672,0.001
89,5.8749843,0.001
90,5.831017,0.001
91,5.819966,0.001
92,5.791538,0.001
93,5.7687435,0.001
94,5.7419133,0.001
95,5.7316613,0.001
96,5.728428,0.001
97,5.7703886,0.001
98,5.794957,0.001
99,5.797775,0.001
100,5.8049297,0.001
101,5.849882,0.001
102,5.8718495,0.001
103,5.905976,0.001
104,5.9102845,0.001
105,5.900234,0.001
106,5.917966,0.001
107,5.918492,0.001
108,5.923014,0.001
109,5.922679,0.001
110,5.878974,0.001
111,5.907191,0.001
112,5.873983,0.001
113,5.89867,0.001
114,5.8962893,0.001
115,5.8655114,0.001
116,5.814799,0.001
117,5.840267,0.001
118,5.8083763,0.001
119,5.786066,0.001
120,5.7347965,0.001
121,5.704866,0.001
122,5.7006216,0.001
123,5.698237,0.001
124,5.6974974,0.001
125,5.745461,0.001
126,5.7266736,0.001
127,5.7675896,0.001
128,5.744721,0.001
129,5.7793155,0.001
130,5.7405305,0.001
131,5.7552514,0.001
132,5.7718015,0.001
133,5.694002,0.001
134,5.665856,0.001
135,5.6764293,0.001
136,5.690428,0.001
137,5.6784368,0.001
138,5.679508,0.001
139,5.6739993,0.001
140,5.6670275,0.001
141,5.7049217,0.001
142,5.738852,0.001
143,5.6644673,0.001
144,5.6474667,0.001
145,5.6067367,0.001
146,5.5187864,0.001
147,5.4991436,0.001
148,5.5103292,0.001
149,5.4804,0.001
150,5.4340405,0.001
151,5.4727345,0.001
152,5.4754744,0.001
153,5.4440084,0.001
154,5.5695214,0.001
155,5.4591403,0.001
156,5.4551897,0.001
157,5.4801674,0.001
158,5.4051623,0.001
159,5.4462647,0.001
160,5.4452524,0.001
161,5.335449,0.001
162,5.3465233,0.001
163,5.4111094,0.001
164,5.3532534,0.001
165,5.4473333,0.001
166,5.3391438,0.001
167,5.3999324,0.001
168,5.3490133,0.001
169,5.368492,0.001
170,5.316814,0.001
171,5.331232,0.001
172,5.345415,0.001
173,5.338448,0.001
174,5.272693,0.001
175,5.209918,0.001
176,5.2503314,0.001
177,5.2184978,0.001
178,5.300955,0.001
179,5.2463727,0.001
180,5.204958,0.001
181,5.178766,0.001
182,5.273377,0.001
183,5.243843,0.001
184,5.2164216,0.001
185,5.241926,0.001
186,5.2928944,0.001
187,5.193985,0.001
188,5.130686,0.001
189,5.038758,0.001
190,5.1311016,0.001
191,5.095966,0.001
192,5.145973,0.001
193,5.119512,0.001
194,5.094592,0.001
195,5.165559,0.001
196,5.1391234,0.001
197,5.149044,0.001
198,5.150746,0.001
199,5.070162,0.001
200,5.161122,0.001
201,5.159854,0.001
202,5.0545216,0.001
203,4.9966335,0.001
204,5.0226974,0.001
205,5.011379,0.001
206,5.0718966,0.001
207,4.9946375,0.001
208,5.0318985,0.001
209,5.0352907,0.001
210,5.16994,0.001
211,5.009126,0.001
212,5.0881386,0.001
213,5.0338945,0.001
214,5.03773,0.001
215,4.970796,0.001
216,4.9448514,0.001
217,4.91317,0.001
218,4.966303,0.001
219,5.018668,0.001
220,4.891988,0.001
221,5.01901,0.001
222,5.0012503,0.001
223,4.9812145,0.001
224,5.0455203,0.001
225,4.9238524,0.001
226,4.8829527,0.001
227,4.977942,0.001
228,4.9300265,0.001
229,4.879309,0.001
230,4.8685684,0.001
231,4.8896008,0.001
232,4.906961,0.001
233,4.8923426,0.001
234,4.8282886,0.001
235,4.9586215,0.001
236,4.8477645,0.001
237,4.9464087,0.001
238,4.928094,0.001
239,4.8501844,0.001
240,4.879664,0.001
241,4.7300916,0.001
242,4.798601,0.001
243,4.820883,0.001
244,4.7517185,0.001
245,4.8309703,0.001
246,4.7774854,0.001
247,4.7871385,0.001
248,4.7223806,0.001
249,4.8210816,0.001
250,4.765735,0.001
251,4.770327,0.001
252,4.7648106,0.001
253,4.7736387,0.001
254,4.7996984,0.001
255,4.7710495,0.001
256,4.730252,0.001
257,4.7551746,0.001
258,4.6487255,0.001
259,4.771541,0.001
260,4.7262316,0.001
261,4.6788588,0.001
262,4.6182914,0.001
263,4.729812,0.001
264,4.704069,0.001
265,4.6648173,0.001
266,4.7376065,0.001
267,4.605887,0.001
