epoch,train-loss,learning-rate
0,7.142558,0.001
1,8.541503,0.001
2,8.990586,0.001
3,9.030582,0.001
4,9.02842,0.001
5,9.021031,0.001
6,9.016414,0.001
7,9.013806,0.001
8,9.013647,0.001
9,9.014251,0.001
10,9.014906,0.001
11,9.014207,0.001
12,9.012977,0.001
13,9.012467,0.001
14,9.011807,0.001
15,9.011652,0.001
16,9.011441,0.001
17,9.011316,0.001
18,9.011182,0.001
19,9.011121,0.001
20,9.011085,0.001
21,9.01106,0.001
22,9.011058,0.001
23,9.011052,0.001
24,9.011027,0.001
25,9.011007,0.001
26,9.011002,0.001
27,9.01101,0.001
28,9.010981,0.001
29,9.010986,0.001
30,9.010999,0.001
31,9.010987,0.001
32,9.010993,0.001
33,9.010987,0.001
34,9.010997,0.001
35,9.010987,0.001
36,9.010989,0.001
37,9.010988,0.001
38,9.010987,0.001
39,9.010988,0.001
40,9.010991,0.001
41,9.010981,0.001
42,9.010981,0.001
43,9.010991,0.001
44,9.010996,0.001
45,9.010985,0.001
46,9.010989,0.001
47,9.0109825,0.001
48,9.010985,0.001
49,9.0109825,0.001
50,9.010975,0.001
51,9.010996,0.001
52,9.010983,0.001
53,9.010985,0.001
54,9.010989,0.001
55,9.010988,0.001
56,9.010986,0.001
57,9.010994,0.001
58,9.010999,0.001
59,9.01098,0.001
60,9.010999,0.001
61,9.010985,0.001
62,9.010997,0.001
63,9.010972,0.001
64,9.010985,0.001
65,9.01098,0.001
66,9.010981,0.001
67,9.010977,0.001
68,9.010983,0.001
69,9.010994,0.001
70,9.010983,0.001
71,9.010968,0.001
72,9.011009,0.001
73,9.01098,0.001
74,9.011002,0.001
75,9.010996,0.001
76,9.010991,0.001
77,9.011003,0.001
78,9.010965,0.001
79,9.010999,0.001
80,9.010991,0.001
81,9.01098,0.001
82,9.010988,0.001
83,9.01098,0.001
84,9.010982,0.001
85,9.010969,0.001
86,9.011005,0.001
87,9.010989,0.001
88,9.010983,0.001
89,9.010973,0.001
90,9.010971,0.001
91,9.010975,0.001
92,9.010978,0.001
93,9.010968,0.001
94,9.010971,0.001
95,9.010963,0.001
96,9.01097,0.001
97,9.010953,0.001
98,9.01099,0.001
99,9.010971,0.001
100,9.010968,0.001
101,9.011,0.001
102,9.010991,0.001
103,9.010976,0.001
104,9.010941,0.001
105,9.010899,0.001
106,9.011034,0.001
107,9.010994,0.001
108,9.010991,0.001
109,9.010988,0.001
110,9.010978,0.001
111,9.010979,0.001
112,9.010984,0.001
113,9.010981,0.001
114,9.010969,0.001
115,9.010977,0.001
116,9.010964,0.001
117,9.010984,0.001
118,9.010964,0.001
119,9.010976,0.001
120,9.010959,0.001
121,9.010972,0.001
122,9.010975,0.001
123,9.010968,0.001
124,9.010964,0.001
125,9.010967,0.001
126,9.010975,0.001
127,9.01097,0.001
128,9.0109625,0.001
129,9.010964,0.001
130,9.010936,0.001
131,9.010943,0.001
132,9.010957,0.001
133,9.0109005,0.001
134,9.010959,0.001
135,9.010941,0.001
136,9.010848,0.001
137,9.010833,0.001
138,9.010846,0.001
139,9.010855,0.001
140,9.010792,0.001
141,9.010576,0.001
142,9.010667,0.001
143,9.010608,0.001
144,9.010581,0.001
145,9.010462,0.001
146,9.010857,0.001
147,9.011152,0.001
148,9.010773,0.001
149,9.010604,0.001
150,9.010309,0.001
151,9.010348,0.001
152,9.010409,0.001
153,9.010516,0.001
154,9.01037,0.001
155,9.010307,0.001
156,9.010363,0.001
157,9.0100975,0.001
158,9.009715,0.001
159,9.009243,0.001
160,9.009304,0.001
161,9.009294,0.001
162,9.008437,0.001
163,9.009275,0.001
164,9.009722,0.001
165,9.00891,0.001
166,9.008644,0.001
167,9.008254,0.001
168,9.008439,0.001
169,9.0089035,0.001
170,9.007867,0.001
171,9.007614,0.001
172,9.008073,0.001
173,9.006596,0.001
174,9.008126,0.001
175,9.007536,0.001
176,9.00762,0.001
177,9.008132,0.001
178,9.006815,0.001
179,9.007807,0.001
180,9.007546,0.001
181,9.008622,0.001
182,9.008676,0.001
183,9.008141,0.001
184,9.007413,0.001
185,9.009042,0.001
186,9.008929,0.001
187,9.0079,0.001
188,9.0071745,0.001
189,9.007505,0.001
190,9.006223,0.001
191,9.003951,0.001
192,9.004178,0.001
193,9.005194,0.001
194,9.005514,0.001
195,9.0055065,0.001
196,9.00638,0.001
197,9.005216,0.001
198,9.006247,0.001
199,9.007416,0.001
200,9.004599,0.001
