epoch,train-loss,learning-rate
0,4.859973,0.001
1,5.1955047,0.001
2,5.2946177,0.001
3,5.3366704,0.001
4,5.3787737,0.001
5,5.451742,0.001
6,5.419056,0.001
7,5.400931,0.001
8,5.503023,0.001
9,5.439392,0.001
10,5.478411,0.001
11,5.4574847,0.001
12,5.445053,0.001
13,5.3873286,0.001
14,5.400192,0.001
15,5.4067197,0.001
16,5.4616456,0.001
17,5.4486585,0.001
18,5.4341545,0.001
19,5.485031,0.001
20,5.399757,0.001
21,5.42483,0.001
22,5.4304385,0.001
23,5.3893776,0.001
24,5.400455,0.001
25,5.3910236,0.001
26,5.3921013,0.001
27,5.4508953,0.001
28,5.3890333,0.001
29,5.443113,0.001
30,5.393962,0.001
31,5.4102197,0.001
32,5.405016,0.001
33,5.414836,0.001
34,5.388632,0.001
35,5.388025,0.001
36,5.4254317,0.001
37,5.3721113,0.001
38,5.4102817,0.001
39,5.434442,0.001
40,5.4163704,0.001
41,5.390374,0.001
42,5.414006,0.001
43,5.404323,0.001
44,5.3872776,0.001
45,5.3950176,0.001
46,5.3843737,0.001
47,5.3914795,0.001
48,5.372131,0.001
49,5.4156523,0.001
50,5.373241,0.001
51,5.4030128,0.001
52,5.378102,0.001
53,5.3024926,0.001
54,5.378211,0.001
55,5.3545794,0.001
56,5.30669,0.001
57,5.372726,0.001
58,5.392715,0.001
59,5.321786,0.001
60,5.310719,0.001
61,5.2940907,0.001
62,5.2836676,0.001
63,5.353773,0.001
64,5.325787,0.001
65,5.2986975,0.001
66,5.232503,0.001
67,5.234067,0.001
68,5.279379,0.001
69,5.299476,0.001
70,5.2549734,0.001
71,5.1960177,0.001
72,5.219596,0.001
73,5.250366,0.001
74,5.2343817,0.001
75,5.2027073,0.001
76,5.1670666,0.001
77,5.192708,0.001
78,5.228233,0.001
79,5.2178226,0.001
80,5.2014947,0.001
81,5.1308675,0.001
82,5.183268,0.001
83,5.0800962,0.001
84,5.0929103,0.001
85,5.0070662,0.001
86,5.054448,0.001
87,5.023432,0.001
88,5.053139,0.001
89,4.980257,0.001
90,4.93394,0.001
91,4.9692307,0.001
92,4.9068003,0.001
93,4.9285083,0.001
94,4.9062586,0.001
95,4.9154496,0.001
96,4.8504705,0.001
97,4.860774,0.001
98,4.8399844,0.001
99,4.8212504,0.001
100,4.8138423,0.001
101,4.8084416,0.001
102,4.7416835,0.001
103,4.7705345,0.001
104,4.737723,0.001
105,4.7899966,0.001
106,4.7078104,0.001
107,4.752501,0.001
108,4.6909647,0.001
109,4.745871,0.001
110,4.601194,0.001
111,4.6032777,0.001
112,4.6261063,0.001
113,4.622189,0.001
114,4.5602245,0.001
115,4.5714235,0.001
116,4.5079684,0.001
117,4.5079923,0.001
118,4.5000677,0.001
119,4.5186205,0.001
120,4.531036,0.001
121,4.4547563,0.001
122,4.485387,0.001
123,4.386589,0.001
124,4.4199247,0.001
125,4.405801,0.001
126,4.3662133,0.001
127,4.427776,0.001
128,4.334253,0.001
129,4.351606,0.001
130,4.298399,0.001
131,4.3366942,0.001
132,4.3052273,0.001
133,4.2014236,0.001
134,4.2612576,0.001
135,4.27401,0.001
136,4.28416,0.001
137,4.2531815,0.001
138,4.1936913,0.001
139,4.14234,0.001
140,4.1320543,0.001
141,4.130089,0.001
142,4.1857524,0.001
143,4.1948085,0.001
144,4.1950808,0.001
145,4.1753545,0.001
146,4.139818,0.001
147,4.0997314,0.001
148,4.130179,0.001
149,4.075577,0.001
150,4.0461226,0.001
151,4.1011763,0.001
152,4.014531,0.001
153,3.9609315,0.001
154,4.0055285,0.001
155,3.9495437,0.001
156,3.8808656,0.001
157,3.9294112,0.001
158,3.8945615,0.001
159,3.889794,0.001
160,3.8939402,0.001
161,3.9105835,0.001
162,3.8704379,0.001
163,3.8801827,0.001
164,3.8777628,0.001
165,3.8427973,0.001
166,3.7948542,0.001
167,3.7887957,0.001
168,3.7242033,0.001
169,3.7512074,0.001
170,3.6833966,0.001
171,3.6788182,0.001
172,3.69246,0.001
173,3.674401,0.001
174,3.5808208,0.001
175,3.6406586,0.001
176,3.6276019,0.001
177,3.5650358,0.001
178,3.5592728,0.001
179,3.5000503,0.001
180,3.5377007,0.001
181,3.5433946,0.001
182,3.4861765,0.001
183,3.4882257,0.001
184,3.4592273,0.001
185,3.4450362,0.001
186,3.4838848,0.001
187,3.3925116,0.001
188,3.3609052,0.001
189,3.3653066,0.001
190,3.3567026,0.001
191,3.3395057,0.001
192,3.3809335,0.001
193,3.3764338,0.001
194,3.3247592,0.001
195,3.3067575,0.001
196,3.181497,0.001
197,3.210276,0.001
198,3.1799765,0.001
199,3.1138175,0.001
200,3.1764812,0.001
201,3.2292798,0.001
202,3.0835493,0.001
203,3.046782,0.001
204,3.056769,0.001
205,3.0154448,0.001
206,3.073203,0.001
207,2.9411073,0.001
208,2.9796827,0.001
209,2.995436,0.001
210,2.9795835,0.001
211,2.9684992,0.001
212,2.9097857,0.001
213,2.9556186,0.001
214,2.924792,0.001
215,2.9559002,0.001
216,2.8317132,0.001
217,2.8340988,0.001
218,2.8631878,0.001
219,2.8397133,0.001
220,2.8251638,0.001
221,2.7896254,0.001
222,2.786595,0.001
223,2.702865,0.001
224,2.700393,0.001
225,2.715607,0.001
226,2.7178783,0.001
227,2.6714373,0.001
228,2.6513484,0.001
229,2.634347,0.001
230,2.6014433,0.001
231,2.653034,0.001
232,2.6602736,0.001
233,2.5971231,0.001
234,2.5991528,0.001
235,2.5698853,0.001
236,2.5065117,0.001
237,2.5961998,0.001
238,2.599216,0.001
239,2.5611868,0.001
240,2.5169084,0.001
241,2.4899902,0.001
242,2.5039704,0.001
243,2.5358708,0.001
244,2.467491,0.001
245,2.5191507,0.001
246,2.4264336,0.001
247,2.4643245,0.001
248,2.3929386,0.001
249,2.412037,0.001
250,2.3359668,0.001
251,2.3207562,0.001
252,2.3142633,0.001
253,2.3348033,0.001
254,2.3682213,0.001
255,2.3938978,0.001
256,2.198435,0.001
257,2.2625365,0.001
258,2.2571335,0.001
259,2.3284657,0.001
260,2.2197027,0.001
261,2.325386,0.001
262,2.2620103,0.001
263,2.3142023,0.001
264,2.2850163,0.001
265,2.2264633,0.001
266,2.2306592,0.001
267,2.1162987,0.001
268,2.2113423,0.001
269,2.171696,0.001
270,2.2275932,0.001
271,2.1388474,0.001
272,2.1504884,0.001
273,2.1437652,0.001
274,2.2059982,0.001
275,2.1144688,0.001
276,2.1540935,0.001
277,2.2525644,0.001
278,2.1623876,0.001
279,2.0677922,0.001
280,2.1367657,0.001
281,2.0597036,0.001
282,2.1098962,0.001
283,2.113671,0.001
284,2.1553779,0.001
285,2.1759112,0.001
286,2.0605958,0.001
287,2.0415304,0.001
288,2.0764582,0.001
289,2.05014,0.001
290,2.0901036,0.001
291,2.0919256,0.001
292,2.0341492,0.001
293,1.9634475,0.001
294,2.1128354,0.001
295,2.0343611,0.001
296,1.9443817,0.001
297,2.0350323,0.001
298,1.9436109,0.001
299,1.9429865,0.001
300,2.1004713,0.001
301,2.089161,0.001
302,2.0387833,0.001
303,1.9677695,0.001
304,1.9682428,0.001
305,2.0254667,0.001
306,1.9883254,0.001
307,2.0388093,0.001
308,1.9763827,0.001
309,2.006129,0.001
310,2.0082562,0.001
311,1.9962211,0.001
312,1.9471896,0.001
313,1.8740226,0.001
314,1.905655,0.001
315,1.9824002,0.001
316,1.9559397,0.001
317,1.9578836,0.001
318,1.8764293,0.001
319,1.8738704,0.001
320,1.8964269,0.001
321,1.8924046,0.001
322,1.9356539,0.001
323,1.8220627,0.001
324,1.8183335,0.001
325,1.8826965,0.001
326,1.9027251,0.001
327,1.8907338,0.001
328,1.9552664,0.001
329,1.8331858,0.001
330,1.8464372,0.001
331,1.8520792,0.001
332,1.74494,0.001
333,1.7623872,0.001
334,1.8489798,0.001
335,1.7736497,0.001
336,1.7852393,0.001
337,1.8597093,0.001
338,1.7968278,0.001
339,1.80964,0.001
340,1.8110062,0.001
341,1.7639165,0.001
342,1.7497205,0.001
343,1.7719384,0.001
344,1.762452,0.001
345,1.7132498,0.001
346,1.7494824,0.001
347,1.8119922,0.001
348,1.8529075,0.001
349,1.7728448,0.001
350,1.7816744,0.001
351,1.7087085,0.001
352,1.6776975,0.001
353,1.7571898,0.001
354,1.7488171,0.001
355,1.7569134,0.001
356,1.7123108,0.001
357,1.7406428,0.001
358,1.7447827,0.001
359,1.7104236,0.001
360,1.7149209,0.001
361,1.752478,0.001
362,1.7544645,0.001
363,1.6690224,0.001
364,1.7829057,0.001
365,1.7326447,0.001
366,1.7205533,0.001
367,1.6569352,0.001
368,1.5795276,0.001
369,1.6850272,0.001
370,1.6751075,0.001
371,1.6894628,0.001
372,1.6639527,0.001
